x_from,y_from,x_to,y_to
-73.8884,40.6227,-73.8876,40.6235
-73.8091,40.6232,-73.8091,40.6233
-73.7616,40.6238,-73.7614,40.6242
-73.8888,40.6224,-73.8884,40.6227
-73.7662,40.6232,-73.766,40.6236
-73.7663,40.6231,-73.7662,40.6232
-73.7663,40.623,-73.7663,40.6231
-73.7664,40.6229,-73.7663,40.623
-73.8093,40.6228,-73.8091,40.6232
-73.889,40.622,-73.8888,40.6224
-73.7665,40.6227,-73.7664,40.6229
-73.7737,40.6231,-73.773,40.6231
-73.7669,40.6225,-73.7665,40.6227
-73.767,40.6225,-73.7669,40.6225
-73.767,40.6225,-73.767,40.6225
-73.7786,40.6191,-73.7776,40.6204
-73.8901,40.6203,-73.889,40.622
-73.8902,40.6202,-73.8901,40.6203
-73.8093,40.6222,-73.8093,40.6228
-73.7675,40.6223,-73.767,40.6225
-73.8904,40.6199,-73.8902,40.6202
-73.8091,40.6219,-73.8093,40.6222
-73.7677,40.6222,-73.7675,40.6223
-73.7785,40.6186,-73.7786,40.6191
-73.7672,40.622,-73.767,40.6225
-73.7797,40.619,-73.7786,40.6191
-73.7683,40.6218,-73.7682,40.6218
-73.7682,40.6218,-73.7677,40.6222
-73.8919,40.62,-73.8904,40.6199
-73.8919,40.62,-73.8919,40.62
-73.7808,40.6193,-73.7797,40.619
-73.8946,40.6215,-73.8944,40.6214
-73.781,40.6194,-73.7808,40.6193
-73.8091,40.6212,-73.8091,40.6219
-73.8091,40.6212,-73.8091,40.6212
-73.7812,40.6194,-73.781,40.6194
-73.8944,40.6214,-73.8941,40.6216
-73.7685,40.6212,-73.7683,40.6218
-73.7688,40.6211,-73.7685,40.6212
-73.893,40.6202,-73.8929,40.6201
-73.809,40.6207,-73.8091,40.6212
-73.8937,40.6206,-73.893,40.6202
-73.8904,40.6188,-73.8904,40.6199
-73.8086,40.6203,-73.809,40.6207
-73.7692,40.6204,-73.7692,40.6205
-73.7693,40.6203,-73.7692,40.6204
-73.8087,40.6196,-73.8086,40.6203
-73.7781,40.6172,-73.7785,40.6186
-73.8901,40.618,-73.8904,40.6188
-73.8085,40.6193,-73.8087,40.6196
-73.778,40.6168,-73.7781,40.6172
-73.7837,40.6194,-73.7836,40.6195
-73.7838,40.6194,-73.7837,40.6194
-73.778,40.6167,-73.778,40.6168
-73.8899,40.6177,-73.8901,40.618
-73.8084,40.6188,-73.8085,40.6193
-73.8898,40.6176,-73.8899,40.6177
-73.8523,40.6188,-73.8511,40.6191
-73.8084,40.6185,-73.8084,40.6188
-73.8079,40.6181,-73.8084,40.6185
-73.8895,40.6169,-73.8898,40.6176
-73.8572,40.618,-73.8571,40.6179
-73.8915,40.6176,-73.8911,40.6183
-73.8078,40.6177,-73.8079,40.6181
-73.8571,40.6179,-73.856,40.6184
-73.8894,40.6166,-73.8895,40.6169
-73.8077,40.6176,-73.8078,40.6177
-73.7819,40.6173,-73.7818,40.6173
-73.7777,40.6156,-73.778,40.6167
-73.8585,40.6176,-73.8582,40.6175
-73.8582,40.6175,-73.8572,40.618
-73.8892,40.6162,-73.8894,40.6166
-73.7777,40.6153,-73.7777,40.6156
-73.8074,40.6166,-73.8077,40.6176
-73.7777,40.6152,-73.7777,40.6153
-73.8589,40.617,-73.8585,40.6176
-73.8589,40.617,-73.8589,40.617
-73.7828,40.6171,-73.7828,40.6171
-73.7588,40.617,-73.7588,40.6171
-73.8595,40.6168,-73.8589,40.617
-73.7594,40.6169,-73.7588,40.617
-73.8892,40.6162,-73.888,40.615
-73.888,40.615,-73.8875,40.6149
-73.7603,40.6166,-73.7599,40.6165
-73.772,40.6165,-73.772,40.6166
-73.7722,40.6164,-73.772,40.6165
-73.761,40.6164,-73.761,40.6164
-73.778,40.6145,-73.7777,40.6152
-73.7751,40.6164,-73.775,40.6164
-73.775,40.6164,-73.7749,40.6163
-73.7299,40.6052,-73.7298,40.6052
-73.7764,40.6146,-73.7763,40.6146
-73.7782,40.614,-73.778,40.6145
-73.7727,40.6153,-73.7727,40.6154
-73.7727,40.6154,-73.7726,40.6153
-73.7783,40.6139,-73.7782,40.614
-73.7733,40.6153,-73.7727,40.6153
-73.7726,40.6153,-73.7724,40.6152
-73.7644,40.6149,-73.7642,40.6153
-73.807,40.6146,-73.8069,40.6154
-73.7646,40.6149,-73.7644,40.6149
-73.861,40.6149,-73.8604,40.6155
-73.7724,40.6152,-73.7721,40.6152
-73.7646,40.6149,-73.7646,40.6149
-73.7644,40.6149,-73.7644,40.6149
-73.7721,40.6152,-73.772,40.6152
-73.7648,40.615,-73.7646,40.6149
-73.765,40.615,-73.7648,40.615
-73.7734,40.615,-73.7733,40.6153
-73.7763,40.6146,-73.7757,40.6144
-73.7652,40.615,-73.765,40.615
-73.7653,40.615,-73.7652,40.615
-73.7653,40.615,-73.7653,40.615
-73.7785,40.6135,-73.7783,40.6139
-73.7655,40.615,-73.7653,40.615
-73.7656,40.615,-73.7655,40.615
-73.7643,40.6147,-73.7644,40.6149
-73.7657,40.615,-73.7656,40.615
-73.7658,40.6149,-73.7657,40.615
-73.7662,40.6147,-73.7664,40.615
-73.766,40.6149,-73.7658,40.6149
-73.7662,40.6147,-73.7661,40.6148
-73.7661,40.6148,-73.766,40.6149
-73.7661,40.6148,-73.7661,40.6148
-73.7672,40.615,-73.7664,40.615
-73.7697,40.615,-73.7697,40.615
-73.7739,40.6148,-73.7734,40.615
-73.7686,40.615,-73.7685,40.6149
-73.769,40.615,-73.7689,40.6149
-73.7688,40.6149,-73.7686,40.615
-73.7689,40.6149,-73.7688,40.6149
-73.7702,40.6149,-73.7701,40.6149
-73.7701,40.6149,-73.77,40.6149
-73.7699,40.6149,-73.7697,40.615
-73.77,40.6149,-73.7699,40.6149
-73.7757,40.6144,-73.7751,40.6144
-73.8066,40.6141,-73.807,40.6146
-73.8609,40.6144,-73.861,40.6149
-73.7742,40.6145,-73.7739,40.6148
-73.7742,40.6145,-73.7742,40.6145
-73.7643,40.6145,-73.7643,40.6147
-73.8065,40.614,-73.8066,40.6141
-73.7751,40.6144,-73.7747,40.6144
-73.7747,40.6144,-73.7746,40.6145
-73.7746,40.6145,-73.7742,40.6145
-73.7787,40.6131,-73.7785,40.6135
-73.8064,40.6138,-73.8065,40.614
-73.8078,40.6142,-73.8075,40.6145
-73.7641,40.6142,-73.7643,40.6145
-73.8614,40.6139,-73.8609,40.6144
-73.808,40.6141,-73.8078,40.6142
-73.7641,40.6142,-73.7641,40.6142
-73.8617,40.6136,-73.8614,40.6139
-73.8868,40.6124,-73.8875,40.6149
-73.7789,40.6126,-73.7787,40.6131
-73.764,40.614,-73.7641,40.6142
-73.8065,40.6133,-73.8064,40.6138
-73.764,40.614,-73.7638,40.6139
-73.8616,40.6128,-73.8617,40.6136
-73.8868,40.6124,-73.8858,40.6118
-73.7794,40.612,-73.7789,40.6126
-73.7794,40.612,-73.7794,40.612
-73.7794,40.612,-73.7794,40.612
-73.8065,40.6125,-73.8065,40.6133
-73.8065,40.6123,-73.8065,40.6125
-73.8065,40.6121,-73.8065,40.6123
-73.78,40.6116,-73.7794,40.612
-73.8065,40.612,-73.8065,40.6121
-73.7801,40.6115,-73.78,40.6116
-73.7629,40.6132,-73.7625,40.613
-73.8626,40.6119,-73.8616,40.6128
-73.7625,40.6129,-73.7625,40.613
-73.7625,40.6128,-73.7625,40.6129
-73.7803,40.6114,-73.7801,40.6115
-73.7625,40.6128,-73.7622,40.6127
-73.7805,40.6113,-73.7803,40.6114
-73.8064,40.6117,-73.8065,40.612
-73.8854,40.611,-73.8858,40.6118
-73.8064,40.6116,-73.8064,40.6117
-73.7809,40.611,-73.7805,40.6113
-73.8064,40.6114,-73.8064,40.6116
-73.7617,40.6122,-73.7617,40.6123
-73.7813,40.6107,-73.7809,40.611
-73.7617,40.6123,-73.7614,40.6121
-73.761,40.6118,-73.761,40.6118
-73.7816,40.6105,-73.7813,40.6107
-73.8107,40.6113,-73.8099,40.612
-73.8847,40.6101,-73.8854,40.611
-73.8847,40.61,-73.8847,40.6101
-73.782,40.6103,-73.7816,40.6105
-73.7596,40.6114,-73.7596,40.6115
-73.761,40.6118,-73.7605,40.6115
-73.7597,40.6114,-73.7596,40.6114
-73.7597,40.6114,-73.7597,40.6114
-73.7596,40.6114,-73.7595,40.6114
-73.7605,40.6115,-73.7604,40.6114
-73.7598,40.6114,-73.7597,40.6114
-73.862,40.6106,-73.8626,40.6119
-73.7599,40.6114,-73.7598,40.6114
-73.7604,40.6114,-73.7603,40.6114
-73.7603,40.6114,-73.7601,40.6114
-73.7601,40.6114,-73.76,40.6114
-73.76,40.6114,-73.7599,40.6114
-73.7823,40.61,-73.782,40.6103
-73.7595,40.6114,-73.7593,40.6113
-73.7587,40.6113,-73.7587,40.6113
-73.7593,40.6113,-73.7591,40.6113
-73.7591,40.6113,-73.759,40.6112
-73.759,40.6112,-73.7587,40.6113
-73.7826,40.6098,-73.7823,40.61
-73.7587,40.6113,-73.7583,40.6111
-73.8843,40.6091,-73.8847,40.61
-73.7832,40.6096,-73.7826,40.6098
